10050190,0,-241,Mech,eyes-little-owl,ears-curly,back-hero,mouth-axie-kiss,horn-dual-blade,tail-hare,10989458,11036267,57,1649758566
11199949,1,-117,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,97,1649758707
11199949,1,-117,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,97,1649758719
6526160,0,-111,Bird,eyes-mavis,ears-peace-maker,back-pigeon-post,mouth-little-owl,horn-eggshell,tail-post-fight,7432054,10666638,47,1649759179
9929222,0,-162,Beast,eyes-chubby,ears-nyan,back-ronin,mouth-goda,horn-imp,tail-cottontail,6985564,9391446,35,1649759393
9929222,0,-162,Beast,eyes-chubby,ears-nyan,back-ronin,mouth-goda,horn-imp,tail-cottontail,6985564,9391446,35,1649759418
11188977,1,-117,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,96,1649759440
1954731,0,-3080,Beast,eyes-zeal,ears-nut-cracker,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,2551668,445949,38,1649759496
1954731,0,-3080,Beast,eyes-zeal,ears-nut-cracker,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,2551668,445949,38,1649759506
1954731,0,-3080,Beast,eyes-zeal,ears-nut-cracker,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,2551668,445949,38,1649759517
11197190,1,-121,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,96,1649760511
11197190,1,-121,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,96,1649760530
11197190,1,-121,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,96,1649760543
5144260,0,-21138,Beast,eyes-chubby,ears-puppy,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,5477800,5046755,33,1649761992
5144260,0,-21142,Beast,eyes-chubby,ears-puppy,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,5477800,5046755,33,1649762015
5144260,0,-21140,Beast,eyes-chubby,ears-puppy,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,5477800,5046755,33,1649762027
11199949,1,-124,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,95,1649762532
11199949,1,-125,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11290215,11130278,95,1649762543
9929222,0,-163,Beast,eyes-chubby,ears-nyan,back-ronin,mouth-goda,horn-imp,tail-cottontail,6985564,9391446,35,1649763162
9929222,0,-163,Beast,eyes-chubby,ears-nyan,back-ronin,mouth-goda,horn-imp,tail-cottontail,6985564,9391446,35,1649763188
11188977,1,-127,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,95,1649763204
11197190,1,-144,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,90,1649764168
11197190,1,-143,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,90,1649764186
11197190,1,-143,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,90,1649764197
5144260,0,-21319,Beast,eyes-chubby,ears-puppy,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,5477800,5046755,33,1649765613
5144260,0,-21311,Beast,eyes-chubby,ears-puppy,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,5477800,5046755,33,1649765641
5144260,0,-21306,Beast,eyes-chubby,ears-puppy,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,5477800,5046755,33,1649765658
11199949,1,-144,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,91,1649766036
11199949,1,-143,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,91,1649766046
9929222,0,-163,Beast,eyes-chubby,ears-nyan,back-ronin,mouth-goda,horn-imp,tail-cottontail,6985564,9391446,35,1649766530
9929222,0,-163,Beast,eyes-chubby,ears-nyan,back-ronin,mouth-goda,horn-imp,tail-cottontail,6985564,9391446,35,1649766559
11188977,1,-143,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,91,1649766581
11197190,1,-137,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,93,1649767216
11197190,1,-137,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11290215,11130278,93,1649767228
11197190,1,-137,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,93,1649767239
10050190,0,-245,Mech,eyes-little-owl,ears-curly,back-hero,mouth-axie-kiss,horn-dual-blade,tail-hare,10989458,11036267,56,1649817263
9929222,0,-156,Beast,eyes-chubby,ears-nyan,back-ronin,mouth-goda,horn-imp,tail-cottontail,6985564,9391446,38,1649817932
9929222,0,-156,Beast,eyes-chubby,ears-nyan,back-ronin,mouth-goda,horn-imp,tail-cottontail,6985564,9391446,38,1649817961
11188977,1,-126,Aquatic,eyes-clear,ears-bubblemaker,back-blue-moon,mouth-piranha,horn-cuckoo,tail-koi,11130278,11290215,95,1649817980
1954731,0,-3112,Beast,eyes-zeal,ears-nut-cracker,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,2551668,445949,36,1649818038
1954731,0,-3112,Beast,eyes-zeal,ears-nut-cracker,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,2551668,445949,36,1649818047
1954731,0,-3111,Beast,eyes-zeal,ears-nut-cracker,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,2551668,445949,36,1649818060
